iso3,hazard,rp,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrowing_ability,avg_prod_k,tau_tax,rho,max_increased_spending,shareable,income_elasticity,T_rebuild_K,macro_multiplier_Gamma,dk,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
RWA,Flood,1000.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,29.92010132870296,0.01193156181739804,0.0012075643099524855,0.09999999999999998,58.1347150946381,6.845489297029803,2.692559123498389,225.66694659975076
RWA,Flood,2500.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,31.578946047151035,0.01259307723428066,0.0012753685379283694,0.09999999999999998,58.1347150946381,7.225020223105808,2.841841287754951,225.6669465997508
RWA,Flood,5000.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,32.908778864333385,0.01312338902335854,0.0013297902572005688,0.09999999999999998,58.1347150946381,7.52927575408985,2.9615151299420073,225.6669465997508
RWA,Storm surge,10.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,0.0,0.0,0.0,0.09999999999999998,58.1347150946381,0.0,0.0,
RWA,Storm surge,25.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,0.0,0.0,0.0,0.09999999999999998,58.1347150946381,0.0,0.0,
RWA,Storm surge,50.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,0.0,0.0,0.0,0.09999999999999998,58.1347150946381,0.0,0.0,
RWA,Storm surge,100.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,0.0,0.0,0.0,0.09999999999999998,58.1347150946381,0.0,0.0,
RWA,Storm surge,250.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,0.0,0.0,0.0,0.09999999999999998,58.1347150946381,0.0,0.0,
RWA,Storm surge,500.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,0.0,0.0,0.0,0.09999999999999998,58.1347150946381,0.0,0.0,
RWA,Storm surge,1000.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,0.0,0.0,0.0,0.09999999999999998,58.1347150946381,0.0,0.0,
RWA,Storm surge,2500.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,0.0,0.0,0.0,0.09999999999999998,58.1347150946381,0.0,0.0,
RWA,Storm surge,5000.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,0.0,0.0,0.0,0.09999999999999998,58.1347150946381,0.0,0.0,
RWA,Tsunami,10.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,0.0,0.0,0.0,0.09999999999999998,58.1347150946381,0.0,0.0,
RWA,Tsunami,25.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,0.0,0.0,0.0,0.09999999999999998,58.1347150946381,0.0,0.0,
RWA,Tsunami,50.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,0.0,0.0,0.0,0.09999999999999998,58.1347150946381,0.0,0.0,
RWA,Tsunami,100.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,0.0,0.0,0.0,0.09999999999999998,58.1347150946381,0.0,0.0,
RWA,Tsunami,250.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,0.0,0.0,0.0,0.09999999999999998,58.1347150946381,0.0,0.0,
RWA,Tsunami,500.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,0.0,0.0,0.0,0.09999999999999998,58.1347150946381,0.0,0.0,
RWA,Tsunami,1000.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,0.0,0.0,0.0,0.09999999999999998,58.1347150946381,0.0,0.0,
RWA,Tsunami,2500.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,0.0,0.0,0.0,0.09999999999999998,58.1347150946381,0.0,0.0,
RWA,Tsunami,5000.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,0.0,0.0,0.0,0.09999999999999998,58.1347150946381,0.0,0.0,
RWA,Wind,10.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,0.0,0.0,0.0,0.09999999999999998,58.1347150946381,0.0,0.0,
